M2 	21:33:27.01 	-00:49:23 	Aquarius 	6.5 	16′
M3 	13:42:11.23 	+28:22:31 	Canes Venatici 	6.2 	18′
M4 	16:23:35.41 	-26:31:31 	Scorpius 	7.12 	18′
M5 	15:18:33.75 	+02:05:57 	Serpens 	6.6 	23′
M9 	17:19:11.78 	-18:30:58 	Ophiuchus 	7.7 	12′
M10 	16:57:08.99 	-04:05:57 	Ophiuchus 	6.4 	12′
M12 	16:47:14.52 	-01:56:52 	Ophiuchus 	6.7 	16′
M13 	16:41:41.44 	+36:27:36 	Hercules 	5.8 	20′
M14 	17:37:36.15 	-03:14:45 	Ophiuchus 	7.6 	36′
M15 	21:29:58.38 	+12:10:00 	Pegasus 	6.2 	18′
M19 	17:02:37.69 	-26:16:04 	Ophiuchus 	6.8 	17′
M22 	18:36:24.20 	-23:54:12 	Sagittarius 	6.17 	32′
M28 	18:24:32.89 	-24:52:11 	Sagittarius 	7.66 	11.2′
M30 	21:40:22.03 	-23:10:44 	Capricornus 	7.7 	12′
M53 	13:12:55.23 	+18:10:08 	Coma Berenices 	8.33 	12′
M55 	19:39:59.40 	-30:57:43 	Sagittarius 	6.3 	19′
M56 	19:16:35.50 	+30:11:04 	Lyra 	8.3 	8.8′
M62 	17:01:12.60 	-30:06:44 	Ophiuchus 	6.5 	15′
M68 	12:39:28.01 	-26:44:34 	Hydra 	7.8 	11′
M69 	18:31:23.23 	-32:20:52 	Sagittarius 	7.6 	9.8′
M70 	18:43:12.64 	-32:17:60 	Sagittarius 	7.9 	8′
M71 	19:53:46.11 	+18:46:42 	Sagitta 	8.2 	7.2′
M72 	20:53:27.91 	-12:32:13 	Aquarius 	9.3 	6.6′
M75 	20:06:04.75 	-21:55:16 	Sagittarius 	8.5 	6.8′
M79 	05:24:10.59 	-24:31:27 	Lepus 	7.7 	9.6′
M80 	16:17:02.51 	-22:58:30 	Scorpius 	7.3 	10′
M92 	17:17:07.27	+43:08:11 	Hercules 	6.4 	14′
M107	16:32:31.91 	-13:03:13 	Ophiuchus 	8.85 	13′
